title,magnitude_min,magnitude_max,date_time,cdi,mmi,tsunami,net,nst,dmin,gap,magType,depth,latitude,longitude,location,continent,country,sig
"M 7.0 - 18 km SW of Malango, Solomon Islands",6.93,7.12,22-11-2022 02:03,very strong,strong,yes,us,117,0.509,17.0,mww,14.0,-9.7963,159.596,"Malango, Solomon Islands",Oceania,Solomon Islands,768
"M 6.9 - 204 km SW of Bengkulu, Indonesia",6.8,7.03,18-11-2022 13:37,moderate,moderate,no,us,99,2.229,34.0,mww,25.0,-4.9559,100.738,"Bengkulu, Indonesia",,,735
M 7.0 - ,6.9,7.09,12-11-2022 07:09,light,light,yes,us,147,3.125,18.0,mww,579.0,-20.0508,-178.346,,Oceania,Fiji,755
"M 7.3 - 205 km ESE of Neiafu, Tonga",7.19,7.38,11-11-2022 10:48,average,average,yes,us,149,1.865,21.0,mww,37.0,-19.2918,-172.129,"Neiafu, Tonga",,,833
M 6.6 - ,6.46,6.71,09-11-2022 10:14,no intensity,very light,yes,us,131,4.998,27.0,mww,624.464,-25.5948,178.278,,,,670
M 7.0 - south of the Fiji Islands,6.9,7.11,09-11-2022 09:51,moderate,light,yes,us,142,4.578,26.0,mwb,660.0,-26.0442,178.381,the Fiji Islands,,,755
M 6.8 - south of the Fiji Islands,6.71,6.89,09-11-2022 09:38,extremely light,light,yes,us,136,4.678,22.0,mww,630.379,-25.9678,178.363,the Fiji Islands,,,711
"M 6.7 - 60 km SSW of Boca Chica, Panama",6.59,6.83,20-10-2022 11:57,strong,significant,yes,us,145,1.151,37.0,mww,20.0,7.6712,-82.3396,"Boca Chica, Panama",,Panama,797
"M 6.8 - 55 km SSW of Aguililla, Mexico",6.69,6.89,22-09-2022 06:16,very strong,strong,yes,us,175,2.137,92.0,mww,20.0,18.33,-102.913,"Aguililla, Mexico",North America,Mexico,1179
"M 7.6 - 35 km SSW of Aguililla, Mexico",7.47,7.69,19-09-2022 18:05,extremely strong,very strong,yes,us,271,1.153,69.0,mww,26.943,18.3667,-103.252,"Aguililla, Mexico",North America,Mexico,1799
"M 6.9 - 90 km E of Yujing, Taiwan",6.82,6.98,18-09-2022 06:44,extremely strong,extremely strong,yes,us,215,0.401,34.0,mww,10.0,23.1444,121.307,"Yujing, Taiwan",Asia,Taiwan,887
"M 6.5 - 96 km SE of Lugu, Taiwan",6.42,6.61,17-09-2022 13:41,strong,strong,yes,us,178,0.43,54.0,mww,10.0,23.029,121.348,"Lugu, Taiwan",Asia,Taiwan,756
"M 7.0 - 209 km SSE of Isangel, Vanuatu",6.88,7.08,14-09-2022 11:04,strong,average,yes,us,192,2.977,45.0,mww,137.0,-21.2077,170.239,"Isangel, Vanuatu",,,761
"M 7.6 - 70 km E of Kainantu, Papua New Guinea",7.47,7.67,10-09-2022 23:47,very strong,very strong,yes,us,272,3.158,12.0,mww,116.0,-6.2237,146.471,"Kainantu, Papua New Guinea",Oceania,Papua New Guinea,965
"M 6.6 - 44 km SE of Kangding, China",6.47,6.72,05-09-2022 04:52,extremely strong,very strong,no,us,141,8.454,34.0,mww,12.0,29.7263,102.279,"Kangding, China",Asia,People's Republic of China,1043
M 6.6 - south of the Kermadec Islands,6.5,6.68,14-08-2022 13:44,strong,significant,yes,us,68,5.293,34.0,mww,30.0,-32.6922,-178.959,the Kermadec Islands,,,672
"M 7.0 - 11 km NE of Bantay, Philippines",6.9,7.11,27-07-2022 00:43,extremely strong,very strong,yes,us,152,5.276,22.0,mww,33.729,17.5978,120.809,"Bantay, Philippines",Asia,Philippines,1351
"M 6.5 - 107 km SSW of Tarauacá, Brazil",6.39,6.63,08-06-2022 00:55,light,very light,no,us,236,1.999,31.0,mww,622.73,-9.0618,-71.1647,"Tarauacá, Brazil",South America,Brazil,653
"M 7.2 - 10 km W of Azángaro, Peru",7.11,7.29,26-05-2022 12:02,strong,average,yes,us,144,2.494,40.0,mww,236.0,-14.8628,-70.3081,"Azángaro, Peru",South America,Peru,876
M 6.9 - ,6.78,7.01,19-05-2022 10:13,very light,average,yes,us,127,0.371,45.0,mww,10.0,-54.1325,159.027,,,,733
"M 6.8 - 86 km NNW of San Antonio de los Cobres, Argentina",6.69,6.91,10-05-2022 23:06,significant,average,yes,us,162,1.505,30.0,mww,220.0,-23.6141,-66.7236,"San Antonio de los Cobres, Argentina",South America,Argentina,762
"M 6.6 - 55 km WSW of Masachapa, Nicaragua",6.47,6.69,21-04-2022 07:42,significant,average,yes,us,0,0.914,94.0,mww,27.0,11.5538,-86.9919,"Masachapa, Nicaragua",,,762
M 7.0 - southeast of the Loyalty Islands,6.91,7.14,31-03-2022 05:44,significant,moderate,yes,us,0,2.705,26.0,mww,10.0,-22.5732,170.349,the Loyalty Islands,,,763
"M 6.9 - 284 km ESE of Tadine, New Caledonia",6.81,7.03,30-03-2022 20:56,significant,moderate,yes,us,0,2.697,42.0,mww,10.0,-22.72,170.277,"Tadine, New Caledonia",,,738
"M 6.7 - 65 km S of Hualien City, Taiwan",6.61,6.84,22-03-2022 17:41,very strong,strong,yes,us,0,0.289,32.0,mww,24.0,23.3421,121.636,"Hualien City, Taiwan",Asia,Taiwan,806
"M 7.3 - 57 km ENE of Namie, Japan",7.2,7.39,16-03-2022 14:36,extremely strong,very strong,yes,us,0,2.936,29.0,mww,41.0,37.7015,141.587,"Namie, Japan",,,2397
"M 6.7 - 166 km W of Pariaman, Indonesia",6.61,6.83,13-03-2022 21:09,extremely strong,significant,no,us,0,2.188,43.0,mww,28.0,-0.6831,98.6034,"Pariaman, Indonesia",Asia,Indonesia,708
"M 6.6 - Kermadec Islands, New Zealand",6.52,6.68,02-03-2022 12:52,very light,strong,yes,us,0,0.827,46.0,mww,24.0,-30.0528,-177.74,"Kermadec Islands, New Zealand",,,670
M 6.8 - south of the Fiji Islands,6.69,6.87,16-02-2022 20:21,very light,light,yes,us,0,5.78,12.0,mww,535.0,-23.7852,-179.968,the Fiji Islands,,,712
"M 6.5 - 49 km NW of Barranca, Peru",6.39,6.64,03-02-2022 15:58,very strong,significant,no,us,0,3.026,22.0,mww,110.0,-4.455,-76.9395,"Barranca, Peru",South America,Peru,690
M 6.5 - Kermadec Islands region,6.38,6.61,29-01-2022 02:46,strong,moderate,yes,us,0,1.088,57.0,mww,8.0,-29.535,-176.729,Kermadec Islands region,,,651
"M 6.6 - 80 km SW of Labuan, Indonesia",6.48,6.68,14-01-2022 09:05,very strong,significant,no,us,0,2.418,22.0,mww,33.0,-6.9291,105.251,"Labuan, Indonesia",,Indonesia,785
"M 6.5 - 71 km SE of Nikolski, Alaska",6.39,6.61,11-01-2022 12:39,no intensity,light,yes,at,97,1.61607,108.0,Mi,37.0,52.502,-168.08,"Nikolski, Alaska",,,650
"M 6.5 - 71 km SE of Nikolski, Alaska",6.42,6.6,11-01-2022 12:39,no intensity,light,yes,pt,23,0.0,208.8,Mi,37.0,52.502,-168.08,"Nikolski, Alaska",,,650
"M 6.6 - 53 km SE of Nikolski, Alaska",6.49,6.7,11-01-2022 12:39,very strong,average,yes,us,0,0.507,49.0,mww,19.0,52.6252,-168.15,"Nikolski, Alaska",,,674
"M 6.7 - 91 km SE of Nikolski, Alaska",6.59,6.78,11-01-2022 11:35,no intensity,moderate,yes,at,50,0.936943,126.0,Mi,33.0,52.48,-167.736,"Nikolski, Alaska",,,691
"M 6.7 - 91 km SE of Nikolski, Alaska",6.61,6.77,11-01-2022 11:35,no intensity,moderate,yes,pt,20,0.0,205.2,Mi,33.0,52.48,-167.736,"Nikolski, Alaska",,,691
"M 6.8 - 100 km SE of Nikolski, Alaska",6.69,6.89,11-01-2022 11:35,strong,significant,yes,us,0,0.92,61.0,mww,20.0,52.6563,-167.917,"Nikolski, Alaska",,,730
"M 6.6 - 48 km WNW of Pólis, Cyprus",6.52,6.7,11-01-2022 01:07,significant,significant,no,us,0,1.168,21.0,mww,21.0,35.1456,31.9095,"Pólis, Cyprus",Asia,,976
"M 6.6 - northern Qinghai, China",6.47,6.73,07-01-2022 17:45,extremely strong,very strong,no,us,0,2.685,13.0,mww,13.0,37.8167,101.299,"northern Qinghai, China",Asia,People's Republic of China,1012
"M 7.3 - 125 km NNE of Lospalos, Timor Leste",7.16,7.4,29-12-2021 18:25,very strong,strong,no,us,0,3.713,19.0,mww,165.49,-7.5924,127.581,"Lospalos, Timor Leste",,Indonesia,921
M 7.3 - Flores Sea,7.21,7.39,14-12-2021 03:20,extremely strong,average,yes,us,0,1.025,32.0,mww,14.27,-7.6033,122.2,Flores Sea,Asia,Indonesia,854
"M 7.5 - 43 km NNW of Barranca, Peru",7.4,7.62,28-11-2021 10:52,very strong,very strong,yes,us,0,4.951,40.0,mww,126.0,-4.4898,-76.8461,"Barranca, Peru",South America,Peru,1094
"M 6.6 - 177 km SE of Hirara, Japan",6.52,6.69,10-11-2021 15:45,strong,moderate,yes,us,0,3.259,15.0,mww,12.0,23.5414,126.48,"Hirara, Japan",,,688
"M 6.9 - 112 km E of Chignik, Alaska",6.8,7.01,11-10-2021 09:10,very strong,significant,yes,ak,0,0.0,0.0,mww,51.6,56.2581,-156.492,"Chignik, Alaska",North America,United States of America,995
M 6.9 - Vanuatu region,6.79,7.01,09-10-2021 10:58,moderate,light,yes,us,0,4.778,31.0,mww,535.0,-21.1704,174.54,Vanuatu region,,,740
M 7.3 - Vanuatu region,7.22,7.41,02-10-2021 06:29,moderate,moderate,yes,us,0,4.493,32.0,mww,527.0,-21.1036,174.895,Vanuatu region,,,826
