iter	RMSE
0	3.145470339
1	3.035437552
2	2.94847906
3	2.870956282
4	2.804308807
5	2.744743324
6	2.68105777
7	2.642857317
8	2.597728422
9	2.554804657
10	2.519421269
11	2.490827871
12	2.46298596
13	2.4432811
14	2.421756789
15	2.40052182
16	2.380212579
17	2.362249083
18	2.345861457
19	2.332613232
20	2.319898751
21	2.312244473
22	2.301039067
23	2.285152138
24	2.275340467
25	2.266082336
26	2.256469616
27	2.247568619
28	2.238590348
29	2.230013271
30	2.2258702
31	2.21912705
32	2.212797183
33	2.20687809
34	2.200571821
35	2.196096432
36	2.188723025
37	2.180168997
38	2.174112257
39	2.17163765
40	2.165252652
41	2.161789292
42	2.157377116
43	2.154091075
44	2.149160636
45	2.143061087
46	2.139942472
47	2.136571254
48	2.133125452
49	2.129346812
50	2.126848916
51	2.12486459
52	2.122853695
53	2.119920928
54	2.117322061
55	2.111963765
56	2.1081805
57	2.10488478
58	2.101606587
59	2.0997627
60	2.09652811
61	2.093830784
62	2.090078916
63	2.087671149
64	2.082881301
65	2.077659533
66	2.075475105
67	2.072360626
68	2.06895801
69	2.066612268
70	2.064676825
71	2.063076442
72	2.059111936
73	2.056272238
74	2.053986536
75	2.051522855
76	2.050825109
77	2.045931248
78	2.042333383
79	2.039593259
80	2.03652988
81	2.035637985
82	2.031861923
83	2.030260876
84	2.024215183
85	2.022457418
86	2.019906949
87	2.018738282
88	2.012744293
89	2.009133882
90	2.00369461
91	2.000583829
92	1.998642249
93	1.997274394
94	1.994760916
95	1.9911306
96	1.988683118
97	1.986101787
98	1.981983862
99	1.977993035
100	1.975907094
101	1.973918202
102	1.97123887
103	1.969705555
104	1.964307947
105	1.962529975
106	1.960508147
107	1.956016802
108	1.954185907
109	1.9493414
110	1.945528696
111	1.939782475
112	1.938592341
113	1.935983491
114	1.931364019
115	1.929594108
116	1.926187644
117	1.924629049
118	1.922103395
119	1.918113487
120	1.915159938
121	1.911783827
122	1.908804645
123	1.906229858
124	1.903657506
125	1.900390564
126	1.89908077
127	1.892601752
128	1.887413502
129	1.882941102
130	1.881873499
131	1.879164032
132	1.876830012
133	1.871916429
134	1.867912943
135	1.863980102
136	1.861709506
137	1.858986031
138	1.856591576
139	1.850784881
140	1.847693291
141	1.843021576
142	1.840988071
143	1.839796416
144	1.836527861
145	1.835048879
146	1.831175875
147	1.827485344
148	1.824735174
149	1.822420758
150	1.819440137
151	1.818656167
152	1.818437625
153	1.817567885
154	1.814191484
155	1.809214069
156	1.805587707
157	1.802312266
158	1.798767328
159	1.797258657
160	1.7939492
161	1.78907838
162	1.786513314
163	1.785144814
164	1.782145392
165	1.77912715
166	1.776508932
167	1.772502692
168	1.768316595
169	1.764347641
170	1.760528609
171	1.758110627
172	1.755353263
173	1.753552739
174	1.752071534
175	1.747500899
176	1.745023945
177	1.742820013
178	1.740370486
179	1.737875846
180	1.735738598
181	1.733359899
182	1.731873036
183	1.731338203
184	1.728812286
185	1.725119365
186	1.722987152
187	1.719722438
188	1.716441559
189	1.712923448
190	1.708941723
191	1.705865097
192	1.7018229
