iter	Passed	Remaining
0	2	2327
1	4	2264
2	6	2263
3	9	2253
4	10	2181
5	12	2127
6	14	2115
7	16	2084
8	18	2056
9	20	2042
10	22	2022
11	24	2018
12	26	2016
13	28	2015
14	30	2007
15	32	2002
16	34	1993
17	36	1989
18	38	1986
19	40	1981
20	42	1980
21	44	1977
22	46	1977
23	48	1973
24	50	1970
25	52	1967
26	54	1970
27	56	1966
28	58	1962
29	60	1965
30	62	1961
31	64	1963
32	66	1959
33	68	1957
34	70	1951
35	72	1950
36	74	1947
37	76	1942
38	78	1940
39	80	1936
40	82	1929
41	84	1919
42	85	1912
43	87	1908
44	89	1898
45	91	1892
46	92	1882
47	94	1878
48	96	1872
49	98	1866
50	99	1859
51	101	1853
52	103	1845
53	104	1839
54	106	1832
55	108	1826
56	110	1822
57	111	1818
58	113	1812
59	115	1810
60	117	1807
61	119	1803
62	121	1799
63	122	1795
64	124	1793
65	126	1789
66	128	1785
67	129	1777
68	131	1773
69	133	1768
70	134	1763
71	136	1758
72	138	1754
73	139	1750
74	141	1748
75	143	1744
76	145	1739
77	146	1736
78	148	1733
79	150	1730
80	152	1726
81	153	1721
82	155	1718
83	157	1713
84	158	1710
85	160	1707
86	162	1704
87	164	1701
88	166	1699
89	167	1697
90	169	1694
91	171	1689
92	173	1687
93	174	1682
94	176	1678
95	177	1674
96	179	1671
97	181	1669
98	183	1667
99	184	1664
100	186	1660
101	188	1656
102	189	1653
103	191	1650
104	193	1647
105	194	1643
106	196	1640
107	198	1639
108	200	1636
109	202	1634
110	203	1631
111	205	1628
112	207	1625
113	208	1622
114	210	1618
115	212	1616
116	213	1614
117	215	1612
118	217	1609
119	219	1607
120	220	1605
121	222	1602
122	224	1599
123	226	1597
124	228	1596
125	229	1594
126	231	1591
127	233	1591
128	235	1588
129	237	1587
130	238	1584
131	240	1581
132	242	1579
133	243	1576
134	245	1574
135	247	1572
136	249	1571
137	251	1568
138	252	1566
139	254	1565
140	256	1564
141	258	1562
142	260	1560
143	262	1557
144	263	1554
145	265	1551
146	266	1549
147	268	1547
148	270	1544
149	272	1542
150	273	1540
151	275	1538
152	277	1535
153	278	1532
154	280	1530
155	282	1527
156	284	1525
157	285	1523
158	287	1521
159	289	1518
160	291	1517
161	293	1515
162	294	1513
163	296	1511
164	298	1509
165	300	1507
166	301	1505
167	303	1504
168	305	1502
169	307	1501
170	309	1499
171	311	1498
172	313	1496
173	314	1494
174	316	1492
175	318	1490
176	319	1487
177	321	1485
178	323	1483
179	325	1481
180	326	1479
181	328	1477
182	330	1475
183	332	1473
184	333	1470
185	335	1468
186	337	1466
187	338	1463
188	340	1462
189	342	1459
190	344	1457
191	345	1455
192	347	1453
193	349	1452
194	351	1452
195	353	1450
196	355	1449
197	357	1448
198	359	1446
199	361	1444
200	362	1441
201	364	1440
202	366	1437
203	367	1435
204	369	1433
205	371	1431
206	373	1429
207	374	1427
208	376	1425
209	378	1423
210	380	1421
211	381	1418
212	383	1416
213	385	1414
214	386	1411
215	388	1410
216	390	1407
217	391	1405
218	393	1403
219	395	1401
220	397	1399
221	398	1397
222	400	1395
223	402	1393
224	403	1391
225	405	1388
226	407	1387
227	409	1385
228	410	1383
229	412	1380
230	414	1378
231	415	1376
232	417	1374
233	419	1372
234	421	1370
235	422	1368
236	424	1366
237	426	1364
238	427	1362
239	429	1360
240	431	1358
241	433	1356
242	434	1354
243	436	1352
244	438	1350
245	439	1348
246	441	1345
247	443	1344
248	445	1342
249	446	1340
250	448	1338
251	450	1336
252	452	1336
253	454	1335
254	456	1334
255	458	1333
256	460	1332
257	462	1330
258	464	1329
259	466	1328
260	468	1326
261	470	1325
262	472	1324
263	474	1323
264	476	1321
265	478	1320
266	480	1319
267	482	1318
268	485	1318
269	487	1317
270	489	1317
271	492	1317
272	494	1316
273	496	1314
274	498	1313
275	500	1311
276	502	1310
277	504	1309
278	506	1308
279	508	1306
280	510	1305
281	512	1303
282	513	1302
283	515	1299
284	517	1297
285	519	1296
286	520	1293
287	522	1291
288	524	1289
289	526	1288
290	528	1286
291	530	1285
292	531	1282
293	533	1280
294	534	1278
295	536	1276
296	538	1274
297	540	1272
298	541	1270
299	543	1268
300	545	1266
301	547	1265
302	549	1263
303	551	1261
304	553	1260
305	555	1258
306	556	1256
307	558	1254
308	560	1252
309	561	1250
310	563	1248
311	565	1246
312	566	1244
313	568	1242
314	570	1240
315	572	1238
316	573	1236
317	575	1234
318	576	1231
319	578	1229
320	580	1227
321	582	1226
322	584	1225
323	587	1224
324	589	1223
325	591	1222
326	593	1221
327	595	1220
328	597	1219
329	599	1217
330	601	1215
331	603	1214
332	605	1212
333	607	1211
334	609	1209
335	611	1208
336	613	1206
337	615	1204
338	617	1203
339	619	1201
340	621	1200
341	623	1198
342	624	1196
343	626	1195
344	628	1193
345	630	1191
346	632	1190
347	634	1188
348	636	1187
349	638	1186
350	640	1185
351	642	1183
352	644	1181
353	646	1180
354	648	1178
355	650	1176
356	652	1175
357	654	1173
358	656	1171
359	658	1170
360	660	1169
361	662	1167
362	663	1164
363	665	1162
364	667	1161
365	669	1159
366	671	1157
367	673	1156
368	674	1154
369	677	1152
370	678	1151
371	680	1149
372	682	1147
373	684	1145
374	686	1143
375	687	1141
376	689	1139
377	691	1137
378	693	1136
379	695	1134
380	696	1132
381	698	1130
382	700	1128
383	702	1126
384	703	1124
385	705	1122
386	707	1120
387	709	1118
388	710	1116
389	712	1114
390	714	1112
391	715	1110
392	717	1107
393	719	1105
394	720	1103
395	722	1101
396	724	1099
397	726	1098
398	727	1096
399	729	1094
400	731	1092
401	733	1090
402	735	1089
403	737	1087
404	738	1085
405	740	1083
406	742	1081
407	744	1079
408	746	1078
409	748	1076
410	749	1074
411	751	1072
412	753	1071
413	755	1069
414	757	1067
415	759	1065
416	761	1063
417	762	1062
418	764	1060
419	766	1058
420	768	1056
421	770	1055
422	772	1054
423	775	1052
424	776	1051
425	779	1049
426	781	1048
427	783	1047
428	786	1046
429	788	1045
430	791	1044
431	793	1042
432	795	1041
433	797	1039
434	799	1038
435	801	1037
436	804	1035
437	806	1034
438	808	1033
439	810	1031
440	813	1031
441	815	1029
442	817	1027
443	819	1025
444	821	1024
445	823	1022
446	825	1020
447	826	1018
448	828	1017
449	830	1015
450	832	1013
451	833	1011
452	835	1009
453	837	1007
454	839	1005
455	841	1003
456	843	1002
457	845	1000
458	848	999
459	850	998
460	852	996
461	854	994
462	855	992
463	857	990
464	859	988
465	861	987
466	863	985
467	864	982
468	866	980
469	868	978
470	869	976
471	871	974
472	873	972
473	875	971
474	876	969
475	878	967
476	880	965
477	882	963
478	883	961
479	885	959
480	887	957
481	889	955
482	891	954
483	893	952
484	894	950
485	896	948
486	898	946
487	900	944
488	901	942
489	903	940
490	905	938
491	907	936
492	909	935
493	911	933
494	912	931
495	914	929
496	916	927
497	918	926
498	920	924
499	922	922
500	924	920
501	926	919
502	928	917
503	930	915
504	932	913
505	933	911
506	935	909
507	937	908
508	939	906
509	941	904
510	943	902
511	945	900
512	947	899
513	949	897
514	951	895
515	952	893
516	954	892
517	956	890
518	958	888
519	960	887
520	962	885
521	964	883
522	966	881
523	968	879
524	970	877
525	972	876
526	974	874
527	976	872
528	978	871
529	980	869
530	982	867
531	984	866
532	987	865
533	989	863
534	991	861
535	993	860
536	995	858
537	996	856
538	998	854
539	1000	852
540	1002	850
541	1004	848
542	1005	846
543	1007	844
544	1009	842
545	1011	840
546	1013	839
547	1016	838
548	1017	836
549	1020	834
550	1022	832
551	1024	831
552	1026	829
553	1028	827
554	1030	826
555	1032	824
556	1034	822
557	1036	821
558	1038	819
559	1040	817
560	1042	815
561	1044	813
562	1046	812
563	1049	811
564	1051	809
565	1053	807
566	1055	805
567	1057	803
568	1059	802
569	1060	800
570	1062	798
571	1064	796
572	1066	795
573	1069	793
574	1071	792
575	1074	790
576	1076	789
577	1078	787
578	1080	785
579	1082	784
580	1085	782
581	1087	780
582	1090	780
583	1092	778
584	1095	776
585	1097	775
586	1099	773
587	1101	771
588	1103	770
589	1105	768
590	1107	766
591	1109	764
592	1111	762
593	1113	760
594	1115	759
595	1116	757
596	1118	755
597	1120	753
598	1122	751
599	1124	749
600	1126	747
601	1128	745
602	1129	743
603	1131	742
604	1133	740
605	1135	738
606	1137	736
607	1139	734
608	1141	732
609	1143	730
610	1145	728
611	1147	727
612	1149	725
613	1151	723
614	1153	721
615	1155	720
616	1157	718
617	1158	716
618	1160	714
619	1162	712
620	1164	710
621	1166	708
622	1168	706
623	1169	704
624	1171	702
625	1173	701
626	1175	699
627	1177	697
628	1179	695
629	1181	693
630	1183	691
631	1184	689
632	1186	688
633	1188	686
634	1190	684
635	1192	682
636	1194	680
637	1195	678
638	1197	676
639	1199	674
640	1201	672
641	1203	670
642	1205	669
643	1207	667
644	1210	666
645	1212	664
646	1214	662
647	1216	660
648	1218	658
649	1219	656
650	1221	654
651	1223	653
652	1225	651
653	1226	649
654	1229	647
655	1231	645
656	1233	644
657	1235	642
658	1237	640
659	1239	638
660	1241	636
661	1243	634
662	1245	633
663	1247	631
664	1249	629
665	1251	627
666	1253	625
667	1255	623
668	1257	621
669	1258	619
670	1260	618
671	1262	616
672	1264	614
673	1266	612
674	1267	610
675	1269	608
676	1271	606
677	1273	605
678	1275	603
679	1278	601
680	1280	599
681	1282	597
682	1284	596
683	1286	594
684	1288	592
685	1291	590
686	1293	589
687	1295	587
688	1297	585
689	1299	583
690	1301	581
691	1303	579
692	1304	578
693	1306	576
694	1308	574
695	1310	572
696	1311	570
697	1313	568
698	1315	566
699	1317	564
700	1318	562
701	1320	560
702	1322	558
703	1323	556
704	1325	554
705	1327	552
706	1329	550
707	1330	548
708	1332	547
709	1334	545
710	1336	543
711	1338	541
712	1341	539
713	1343	538
714	1345	536
715	1347	534
716	1348	532
717	1350	530
718	1352	528
719	1354	526
720	1356	524
721	1357	522
722	1359	520
723	1361	518
724	1363	517
725	1364	515
726	1366	513
727	1368	511
728	1370	509
729	1372	507
730	1373	505
731	1375	503
732	1377	501
733	1379	499
734	1380	497
735	1383	496
736	1385	494
737	1387	492
738	1389	490
739	1391	488
740	1393	487
741	1395	485
742	1397	483
743	1399	481
744	1401	479
745	1403	477
746	1405	475
747	1407	474
748	1408	472
749	1410	470
750	1412	468
751	1414	466
752	1416	464
753	1418	462
754	1420	460
755	1422	458
756	1423	457
757	1425	455
758	1427	453
759	1429	451
760	1431	449
761	1433	447
762	1435	445
763	1436	443
764	1438	441
765	1440	440
766	1442	438
767	1444	436
768	1446	434
769	1447	432
770	1449	430
771	1451	428
772	1453	426
773	1455	424
774	1457	423
775	1459	421
776	1461	419
777	1463	417
778	1466	415
779	1468	414
780	1470	412
781	1473	410
782	1475	408
783	1477	407
784	1479	405
785	1481	403
786	1483	401
787	1485	399
788	1487	397
789	1489	395
790	1491	394
791	1493	392
792	1495	390
793	1497	388
794	1500	386
795	1506	386
796	1509	384
797	1512	382
798	1514	381
799	1516	379
800	1519	377
801	1521	375
802	1523	373
803	1525	371
804	1527	370
805	1530	368
806	1532	366
807	1534	364
808	1536	362
809	1539	361
810	1541	359
811	1544	357
812	1546	355
813	1548	353
814	1550	351
815	1552	350
816	1554	348
817	1556	346
818	1559	344
819	1560	342
820	1563	340
821	1566	339
822	1568	337
823	1571	335
824	1573	333
825	1574	331
826	1576	329
827	1578	327
828	1579	325
829	1581	323
830	1583	322
831	1585	320
832	1587	318
833	1589	316
834	1590	314
835	1592	312
836	1594	310
837	1596	308
838	1598	306
839	1600	304
840	1602	302
841	1603	300
842	1605	299
843	1607	297
844	1609	295
845	1610	293
846	1612	291
847	1614	289
848	1615	287
849	1617	285
850	1619	283
851	1621	281
852	1623	279
853	1625	277
854	1627	275
855	1629	274
856	1631	272
857	1633	270
858	1635	268
859	1637	266
860	1639	264
861	1641	262
862	1643	260
863	1644	258
864	1646	256
865	1648	255
866	1650	253
867	1652	251
868	1653	249
869	1655	247
870	1657	245
871	1659	243
872	1661	241
873	1663	239
874	1664	237
875	1666	235
876	1668	234
877	1670	232
878	1672	230
879	1673	228
880	1675	226
881	1677	224
882	1679	222
883	1681	220
884	1683	218
885	1685	216
886	1687	215
887	1689	213
888	1692	211
889	1694	209
890	1695	207
891	1697	205
892	1699	203
893	1701	201
894	1703	199
895	1705	197
896	1707	196
897	1709	194
898	1711	192
899	1712	190
900	1714	188
901	1716	186
902	1718	184
903	1720	182
904	1721	180
905	1723	178
906	1725	176
907	1727	175
908	1729	173
909	1731	171
910	1732	169
911	1734	167
912	1736	165
913	1737	163
914	1739	161
915	1741	159
916	1743	157
917	1745	155
918	1746	153
919	1748	152
920	1750	150
921	1752	148
922	1754	146
923	1756	144
924	1758	142
925	1760	140
926	1762	138
927	1764	136
928	1765	134
929	1767	133
930	1769	131
931	1771	129
932	1773	127
933	1775	125
934	1777	123
935	1779	121
936	1781	119
937	1784	117
938	1786	116
939	1788	114
940	1791	112
941	1793	110
942	1796	108
943	1798	106
944	1800	104
945	1801	102
946	1803	100
947	1805	99
948	1807	97
949	1809	95
950	1811	93
951	1813	91
952	1815	89
953	1817	87
